course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
Matemðtica Financeira de um jeito fðcil;https://www.udemy.com/matematica-financeira2/;95;401;67;20;All Levels;28;15;23/7/13 15:45;Business Finance
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU);https://www.udemy.com/dividend-decision-a-comprehensive-study/;150;1340;4;272;All Levels;39;26;19/7/15 14:43;Business Finance
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU);https://www.udemy.com/dividend-decision-a-comprehensive-study/;150;1340;4;272;All Levels;39;26;19/7/15 14:43;Business Finance
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU;https://www.udemy.com/time-value-of-money/;180;3667;4;460;Beginner Level;96;435;6/12/14 11:34;Business Finance
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU;https://www.udemy.com/time-value-of-money/;180;3667;4;460;Beginner Level;96;435;6/12/14 11:34;Business Finance
Media Training for Financial Service Professionals;https://www.udemy.com/media-training-for-financial-service-professionals/;20;1254;2;64;All Levels;98;7;11/12/14 16:14;Business Finance
Media Training for Financial Service Professionals;https://www.udemy.com/media-training-for-financial-service-professionals/;20;1254;2;64;All Levels;98;7;11/12/14 16:14;Business Finance
Mental Models For Wall Street - Become A Better Trader;https://www.udemy.com/mental-models-for-wall-street/;0;1067;50;35;Beginner Level;11;2;14/12/16 16:53;Business Finance
Mental Models For Wall Street - Become A Better Trader;https://www.udemy.com/mental-models-for-wall-street/;0;1067;50;35;Beginner Level;11;2;14/12/16 16:53;Business Finance
Mergers and Acquisitions M&A Essentials You Need to Know;https://www.udemy.com/intro-to-the-ma-game/;95;4103;19;15;All Levels;84;1;13/11/13 6:08;Business Finance
Mergers and Acquisitions M&A Essentials You Need to Know;https://www.udemy.com/intro-to-the-ma-game/;95;4103;19;15;All Levels;84;1;13/11/13 6:08;Business Finance
Mestres do Photoshop;https://www.udemy.com/mestres-do-photoshop/;30;86;18;52;All Levels;52;55;21/8/15 18:40;Graphic Design
Mestres do Photoshop;https://www.udemy.com/mestres-do-photoshop/;30;86;18;52;All Levels;52;55;21/8/15 18:40;Graphic Design
MetaTrader4 Platform Training;https://www.udemy.com/metatrader4-platform-training/;0;1819;45;15;Beginner Level;8;15;21/9/16 14:16;Business Finance
MetaTrader4 Platform Training;https://www.udemy.com/metatrader4-platform-training/;0;1819;45;15;Beginner Level;8;15;21/9/16 14:16;Business Finance
Meteor and React for Realtime Apps;https://www.udemy.com/meteor-react-tutorial/;140;6527;1384;111;All Levels;24;9;23/5/16 11:51;Subject: Web Development
Meteor and React for Realtime Apps;https://www.udemy.com/meteor-react-tutorial/;140;6527;1384;111;All Levels;24;9;23/5/16 11:51;Web Development
MicroStation - Cðlulas;https://www.udemy.com/microstation-celulas/;20;0;0;9;Beginner Level;76;616666667;15/4/14 16:48;Graphic Design
MicroStation - Cðlulas;https://www.udemy.com/microstation-celulas/;20;0;0;9;Beginner Level;76;616666667;15/4/14 16:48;Graphic Design
MicroStation - Niveles;https://www.udemy.com/microstation-niveles/;20;2;0;7;Beginner Level;95;566666667;15/4/14 16:55;Graphic Design
MicroStation - Niveles;https://www.udemy.com/microstation-niveles/;20;2;0;7;Beginner Level;95;566666667;15/4/14 16:55;Graphic Design
Mike G's Beginner Drum Course: Part 1;https://www.udemy.com/drumlessons/;35;515;14;20;All Levels;7;3;1/11/15 15:04;Musical Instruments
Mike G's Beginner Drum Course: Part 1;https://www.udemy.com/drumlessons/;35;515;14;20;All Levels;7;3;1/11/15 15:04;Musical Instruments
Mike G's Beginner Drum Course: Part 2;https://www.udemy.com/drumlessons2/;40;305;0;23;Intermediate Level;2;25;10/3/16 1:33;Musical Instruments
Mike G's Beginner Drum Course: Part 2;https://www.udemy.com/drumlessons2/;40;305;0;23;Intermediate Level;2;25;10/3/16 1:33;Musical Instruments
Mind-Blowing Photoshop: Master Skills Season 1;https://www.udemy.com/mind-blowing-photoshop-master-skills-season-1/;20;94;3;69;Intermediate Level;98;3;8/8/14 11:12;Graphic Design
Mind-Blowing Photoshop: Master Skills Season 1;https://www.udemy.com/mind-blowing-photoshop-master-skills-season-1/;20;94;3;69;Intermediate Level;98;3;8/8/14 11:12;Graphic Design
Mit Finanzwissen zu besserem Unternehmertum;https://www.udemy.com/mit-finanzwissen-zu-besserem-unternehmertum/;50;49;3;23;Expert Level;95;3;10/5/17 10:10;Business Finance
Mit Finanzwissen zu besserem Unternehmertum;https://www.udemy.com/mit-finanzwissen-zu-besserem-unternehmertum/;50;49;3;23;Expert Level;95;3;10/5/17 10:10;Business Finance
Mobile App Design in Photoshop from Scratch - UI & UX DESIGN;https://www.udemy.com/mobile-app-design-in-photoshop-complete-music-app-design/;195;1282;17;19;All Levels;97;25;28/12/16 14:24;Graphic Design
